verdict;morfeuszText;originalText
FALSE;Going out to eat with members of your household this weekend Don't forget to keep your mask on in between bites your parta to keep those around you healthy #SlowtheSpread co snYe5v55Rw co Y4fcDO5Zke;Going out to eat with members of your household this weekend? Don't forget to keep your mask on in between bites.Do your part to keep those around you healthy. #SlowtheSpreadhttps://t.co/snYe5v55Rw https://t.co/Y4fcDO5Zke
FALSE;Wait dotychczasowy test nie odróżniać to człowiek grypa być traktować COVIDowiec co 6zc7yAmPRV;Wait... czyli dotychczasowe testy nie odróżniały tego? I człowiek z grypa był traktowany jak COVIDowiec? https://t.co/6zc7yAmPRV
FALSE;ramy walka pandemia minister a_niedzielski wydać wyrok śmierć pacjent onkologiczny leczyć Szpital uniwersytecki Kraków brak słowo co XBD2tYV0np;W ramach walki z tzw. pandemią minister @a_niedzielski wydał wyrok śmierci na pacjentów onkologicznych leczonych w Szpitalu Uniwersyteckim w Krakowie. Brak słów!https://t.co/XBD2tYV0np
FALSE;można online sprawdzić który apteka cały Polska być antybiotyk dlaczego nie zrobić być dyletant aplikacja wskazywać załóg karetka gdzie być wolny łóżko covidowe koronawirus #KoronawirusWPolsce co 9C4W6ZSdAi;Skoro można online sprawdzić w której aptece w całej Polsce jest antybiotyk, dlaczego nie zrobiliście, dyletanci, aplikacji wskazującej załogom karetek, gdzie są wolne łóżka covidowe?#COVIDー19 #koronawirus #KoronawirusWPolsce https://t.co/9C4W6ZSdAi
FALSE;policja Niemcy dostać nowy maseczka siatka tak bardzo niebezpieczny być Covid 19 włączyć myślenie co 1lEgBHpli8;Policja w Niemczech dostała nowe maseczki - z siatki !!! Tak bardzo niebezpieczny jest Covid-19 !!!Włącz myślenie https://t.co/1lEgBHpli8
FALSE;polityk maić szpital resortowe Polak być umierać stadion szybko dokończyć doposażyć budynek szpital południowy gdzie być instalacja tlen cały infrastruktura leczyć chory rząd organizować Polak igrzysko śmierć Stadion narodowy co x6oeZZWEog;Politycy mają szpitale resortowe a Polacy będą umierać na stadionach. Zamiast szybko dokończyć i doposażyć budynek szpitala południowego, gdzie są instalacje z tlenem i cała infrastruktura do leczenia chorych - rząd organizuje Polakom igrzyska śmierci na Stadionie Narodowym! https://t.co/x6oeZZWEog
FALSE;niski śmiertelność Polska COVID 19 to mit podobny bardzo korzystny wskaźnik maić liczba kraj trzeci świat dlaczego tam również wykonywać się zbyt mało test;Niska śmiertelność w Polsce na COVID-19 to mit! Podobne, bardzo korzystne wskaźniki, mają liczbę kraje tzw. trzeciego świata. Dlaczego? Bo tam również wykonuje się zbyt mało testów!
FALSE;senior nie być móc wyjść spacer blok tylko kościół Morawiecki nawet nie mieć jaje to wprost powiedzieć on oko konferencja prasowy co 5FviK8RuC2;Seniorzy nie będą mogli wyjść na spacer dookoła bloku. Tylko do kościoła. A Morawiecki nawet nie miał jaj, żeby to wprost powiedzieć im w oczy na konferencji prasowej. https://t.co/5FviK8RuC2
FALSE;❗️NIE pobierać aplikacja stop COVID❗️ aplikacja mieć cel wysłać wszystek osoba strajk kwarantanna abh wszystko uciszyć wszystko wytłumaczyć nisko co Qg7GVD0ZQZ;❗️NIE POBIERAJCIE APLIKACJI STOP COVID❗️ aplikacja ma na celu min wysłać wszystkie osoby ze strajku na kwarantannę abh wszystko uciszyć. wszystko wytłumaczone niżej https://t.co/Qg7GVD0ZQZ
FALSE;przetłumaczyć polski respirator być grudzień nie być on jednorazowy osprzęt być 20x drogi sztuka respirator który szpital już maić teraz już wiedzieć dlaczego papier być wolny respirator real być problem on dostępność Dykta co YH5iEqCBYh;Przetłumaczę na polskieRespiratory są, ale do grudnia nie będzie do nich jednorazowego osprzętu. Jest 20x droższy za sztukę niż do respiratorów, które szpitale już mająTeraz już wiecie dlaczego na papierze są wolne respiratory, a w realu są problemy z ich dostępnościąDykta+ https://t.co/YH5iEqCBYh
FALSE;pikus_pol MZ_GOV_PL Śląsko można oddać osocze musieć zapłacić 45 to się nie dzieje;@pikus_pol @MZ_GOV_PL Na Śląsku można oddać osocze, ale musisz zapłacić 45 zł To się nie dzieje
FALSE;7 listopad Polska 17 miejsce świat 1703 przypadek poważny krytyczny równoległy rzeczywistość być podobno wolny łóżko covidowe wolny respirator dbać siebie co bWNIW7D5WQ;7 listopada. Polska na 17. miejscu na świecie. 1703 przypadki poważne lub krytyczne. W równoległej rzeczywistości są podobno wolne łóżka covidowe i wolne respiratory. Dbajcie o siebie. https://t.co/bWNIW7D5WQ
FALSE;Jaruzelski wyprowadzić żołnierz ulica Kaczyński wprowadzać on szpital inwazja Wota niektóry mazowiecki szpital to narazić życie pacjent bezprawny działanie każdy kto wchodzić oddział aktualny wynik test COVID ryzykować zdrowie pacjent;Jaruzelski wyprowadził kiedyś żołnierzy na ulice,Kaczyński wprowadza ich do szpitali. „Inwazja” WOT na niektóre mazowieckie szpitale to narażenie życia pacjentów i bezprawne działanie! Każdy kto wchodzi na oddział bez aktualnego wyniku testu na COVID ryzykuje zdrowiem pacjentów!
FALSE;jak to przecież dość słyszeć być to też widzieć być instalacja tlenowy łóżko agregat murawa 3 rura miedziany prowadzić tlen pan minister michaldworczyk co co VU8zL92s6v;Ale jak to? Przecież nie dość że słyszeliśmy to też widzieliśmy instalacje tlenową przy łóżkach agregat na murawie...3 km rur miedzianych do prowadzenia tlenu...panie ministrze @michaldworczyk ? https://t.co/7MHwPD6xYW https://t.co/VU8zL92s6v
